,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate_init,param_momentum,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
17,2.0649211406707764,0.28976127398110746,0.000746774673461914,8.060381754057876e-06,0.1,0.7,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.7, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,0.95,1.0,1.0,1.0,0.9,1.0,0.96,0.03741657386773941,40
18,1.633875322341919,0.2860680076643332,0.0007617712020874023,3.564089825616635e-05,0.1,0.8,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.8, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.9550000000000001,0.034999999999999996,59
19,0.9564297676086426,0.5043399124902928,0.000753331184387207,8.888940735293874e-05,0.1,0.9,sgd,"{'learning_rate_init': 0.1, 'momentum': 0.9, 'solver': 'sgd'}",1.0,0.0,0.9,0.0,0.95,1.0,1.0,1.0,0.95,1.0,0.78,0.391279950930277,90
20,2.5634092330932616,0.25216174088871296,0.000766921043395996,2.903563415746893e-05,0.2,0.001,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.001, 'solver': 'sgd'}",1.0,0.95,0.9,1.0,1.0,1.0,1.0,0.95,0.9,1.0,0.97,0.039999999999999994,12
21,2.609012079238892,0.38074576403064037,0.0007424592971801758,6.262244504798806e-06,0.2,0.1,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.1, 'solver': 'sgd'}",1.0,0.95,0.8,0.95,1.0,1.0,1.0,1.0,0.9,1.0,0.96,0.06244997998398397,40
22,2.307942533493042,0.2560065913892872,0.0007778882980346679,5.501676481464157e-05,0.2,0.2,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.2, 'solver': 'sgd'}",0.9,1.0,0.8,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.96,0.06244997998398397,40
23,2.196153402328491,0.2733418407735008,0.0007428169250488281,3.555875432491714e-06,0.2,0.3,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.3, 'solver': 'sgd'}",0.95,0.95,1.0,0.95,0.95,1.0,1.0,0.95,0.9,0.95,0.96,0.030000000000000002,40
24,1.9139354228973389,0.18696823548112013,0.000827789306640625,0.00023287088475566517,0.2,0.4,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.4, 'solver': 'sgd'}",0.95,1.0,0.8,1.0,1.0,0.95,1.0,1.0,0.9,0.95,0.9549999999999998,0.0610327780786685,69
25,1.7802884817123412,0.17927034044494494,0.000745391845703125,1.2553230640065784e-05,0.2,0.5,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.5, 'solver': 'sgd'}",0.95,0.95,0.75,1.0,1.0,1.0,1.0,1.0,0.9,0.95,0.95,0.07416198487095663,79
26,1.712022352218628,0.3100216868978447,0.0007539987564086914,3.463348900876719e-05,0.2,0.6,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.6, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,1.0,1.0,1.0,0.95,0.95,1.0,0.9650000000000001,0.03201562118716425,24
27,1.5668535709381104,0.3110310229655402,0.0007647991180419922,2.367432863315901e-05,0.2,0.7,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.7, 'solver': 'sgd'}",0.9,0.95,0.8,0.95,1.0,1.0,1.0,1.0,0.95,1.0,0.9549999999999998,0.0610327780786685,69
28,1.3383447408676148,0.3202660810384769,0.0007548332214355469,6.729648949829793e-05,0.2,0.8,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.8, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,0.95,1.0,1.0,0.95,0.95,1.0,0.9549999999999998,0.05678908345800272,69
29,0.7551136016845703,0.20103974376846434,0.0007425308227539063,2.0363291621016894e-05,0.2,0.9,sgd,"{'learning_rate_init': 0.2, 'momentum': 0.9, 'solver': 'sgd'}",0.95,1.0,0.8,0.95,0.95,1.0,1.0,0.95,0.95,1.0,0.9549999999999998,0.05678908345800272,69
30,1.9641722202301026,0.0780366169252681,0.0007737159729003906,0.0001248701597356177,0.3,0.001,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.001, 'solver': 'sgd'}",0.95,0.95,0.9,0.95,0.95,1.0,1.0,1.0,0.9,1.0,0.96,0.03741657386773941,40
31,2.0526365756988527,0.20686948810289832,0.0007419109344482422,3.8930300905771086e-05,0.3,0.1,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.1, 'solver': 'sgd'}",1.0,0.95,0.8,0.95,1.0,1.0,1.0,0.95,0.9,1.0,0.9550000000000001,0.0610327780786685,59
32,1.782378888130188,0.2440226601651249,0.0007424831390380859,2.7930774700905574e-05,0.3,0.2,sgd,"{'learning_rate_init': 0.3, 'momentum': 0.2, 'solver': 'sgd'}",1.0,1.0,0.8,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.9550000000000001,0.0610327780786685,59
